y,x,MarketName,Website/Facebook,street,city,County,State,zip,Season; Time,Location
38.713223,-77.808952,Warrenton Farmers Wednesday Market,http://www.warrentonva.gov/Community/Attractions.aspx,500 Hospital Drive,Warrenton ,Fauquier,Virginia,20186,05/07/2014 to 10/22/2014; Wed: 7:00 AM-1:00 PM;,Healthcare Institution
38.8099,-77.6621,Remington Farmers Market,http://www.fauquiercounty.gov/government/departments/agdev/,"Market St., in the Muncipal Parking Lot",Fauquier,Fauquier County,Virginia,,,
38.5853,-77.7892,Southern Fauquier Farmers Market,,6572 Weaver Ln,BEALETON,Fauquier County,Virginia,,05/04/2014 to 10/26/2014; Sat: 8:00 AM-1:00 PM;,
39.02313,-77.477858,Ashburn Farmers Market,http://www.loudounfarmersmarkets.org,44036 Pipeline Plaza,Ashburn,Loudoun,Virginia,20147,05/03/2014 to 10/25/2014; Sat: 8:00 AM-12:00 PM;,Private business parking lot
38.982585,-77.53604,Brambleton Farmers Market,http://www.loudounfarmersmarkets.org,42365 Soave Dr,Brambleton,Loudoun,Virginia,20148,05/04/2014 to 10/26/2014; Sun: 9:00 AM-1:00 PM;,Private business parking lot
39.031465,-77.395278,Cascades Farmers Market,http://www.loudounfarmersmarkets.org,20160 Whitfield Pl,Sterling,Loudoun,Virginia,20165,05/04/2014 to 11/23/2014; Sun: 9:00 AM-1:00 PM;,Local government building grounds
39.198369,-77.719881,Hillsboro Farmers Market at the Old Stone School,http://hillsborofarmersmarket.org,37098 Charles Town Pike ,Hillsboro,Loudoun,Virginia,20132,05/17/2014 to 09/27/2014; Sat:  9:30 am - 1:30 pm,at the Old Stone School
39.107684,-77.565837,Leesburg Saturday Farmers Market,http://www.loudounfarmersmarkets.org,32 Catoctin Circle SE,Leesburg,Loudoun,Virginia,20175,05/03/2014 to 10/25/2014; Sat: 8:00 AM-12:00 PM; 11/01/2014 to 04/25/2015; Sat: 9:00 AM-12:00 PM;,Private business parking lot
39.107684,-77.565837,Leesburg Wednesday Farmers Market,http://www.loudounfarmersmarkets.org,30 Catoctin Circle SE,Leesburg,Loudoun,Virginia,20175,05/07/2014 to 10/29/2014; Wed: 3:00 PM-7:00 PM;,Private business parking lot
38.969,-77.7388,Middleburg Community Farmers Market,http://www.middleburgfarmersmarket.com,200-400 Stonewall Street,Middleburg,Loudoun,Virginia,20117,05/03/2014 to 10/25/2014; Sat: 8:00 AM-12:00 PM;,Private business parking lot
38.9558,-77.5014,South Riding Farmers Market,http://www.loudounfarms.org,Located at the Gum Spring Parking lot,South Riding,Loudoun,Virginia,20152,04/14/2014 to 10/27/2014; Sat: 9:00 am - 1:00 pm,Gum Spring Library Parking lot
38.9387742,-77.549401,Wellness Connection Farmer's Market,http://www.WellnessConnectionLLC.com,24.600 Millstream Drive,Aldi,Loudoun,Virginia,20105,04/05/2014 to 10/11/2014; Sat: 9:00 AM-1:00 PM;,Private business parking lot
38.74949,-77.473074,City of Manassas Farmer's Market- Saturday ,http://media.visitmanassas.org/farmersmarket,West St. and Prince William St.,Manassas ,Manassas,Virginia,20110,04/13/2013 to 11/09/2013; Sat: 7:30 AM-1:00 PM; 11/16/2013 to 12/31/2013; Sat: 10:00 AM-1:00 PM;,Other
38.7505391,-77.4737608,City of Manassas Farmer's Market- Thursday,http://media.visitmanassas.org/farmersmarket,9201 Center Street ,Manassas,Manassas,Virginia,20110,04/11/2013 to 11/07/2013; Thu: 7:30 AM-1:00 PM;,Other
38.759276,-77.575794,Bristow Farmers Market,http://www.BristowFarmersMarket.com,9050 Devlin Rd,Bristow,Prince William,Virginia,20136,01/01/2014 to 12/31/2014; Sun: 10:00 AM-2:00 PM;,Educational institution
38.6471464,-77.3410794,Dale City Farmers Market,http://www.pwcparks.org/farmersmarket/,14090 Gemini Way,Dale City,Prince William,Virginia,22193,04/06/2014 to 12/07/2014; Sun: 8:00 AM-1:00 PM; 12/14/2014 to 03/29/2015; Sun: 10:00 AM-1:00 PM;,Federal/State government building grounds
38.8093847,-77.6304112,Haymarket Thursday Afternoon Market,Haymarket Thursday Afternoon Market,14600 Washington ST.,Haymarket,Prince William,Virginia,20169,08/21/2014 to 10/30/2014; Thu: 2:00 PM-6:00 PM;11/01/2014 to 11/20/2014; Thu: 2:00 PM-5:00 PM; 12/04/2014 to 04/30/2015; Thu: 2:30 PM-6:30 PM;,
38.7528,-77.4765,Historic Manassas Farmers Market,http://www.historicmanassasinc.org,Church St. & Quarry St.,Manassas,Prince William,Virginia,20110,,
38.7744892,-77.5944539,Smart Markets Bristow,http://www.smartmarkets.org,8301 Linton Hall Rd.,Bristow,Prince William,Virginia,20136,01/01/2014 to 12/31/2014; Sun: 10:30 AM-2:30 PM;,Educational institution
38.7831535,-77.4622484,Smart Markets Manassas Park,http://www.smartmarkets.org/our-markets.html#manassaspark,99 Adams Street ,Manassas Park,Prince William,Virginia,20111,05/06/2014 to 11/18/2014; Tue: 3:00 PM-7:00 PM;,Federal/State government building grounds
38.6757237,-77.2778856,Smart Markets Tackett's Mill,http://www.smartmarkets.org,2228 Tacketts Mill Drive ,Woodbridge,Prince William,Virginia,22192,05/16/2014 to 11/14/2014; Fri: 3:00 PM-7:00 PM;,Private business parking lot
38.803629,-77.595369,The Marque Farmers Market,,13550 Heathcote Blvd,Gainesville ,Prince William,Virginia,20155,05/02/2013 to 11/21/2013; Thu: 2:00 PM-6:00 PM;,Private business parking lot
